Coding System (Read),Codes,Description,Entity type,Category
Read,9SAB.00,Turkish/Turkish Cypriot (NMO),res56: ethnicity,diagnostic
Read,9SAD.00,Other ethnic NEC (NMO),res56: ethnicity,diagnostic
Read,9SAB.12,Turkish Cypriot (NMO),res56: ethnicity,diagnostic
Read,9SAC.00,Other European (NMO),res56: ethnicity,diagnostic
Read,9i2H.00,Commonwealth (Russian) Indep States - ethn categ 2001 census,res56: ethnicity,diagnostic
Read,9i27.00,Greek - ethnic category 2001 census,res56: ethnicity,diagnostic
Read,9i20.00,English - ethnic category 2001 census,res56: ethnicity,diagnostic
Read,9i10.00,White Irish - ethnic category 2001 census,res56: ethnicity,diagnostic
Read,9i2..00,Other White background - ethnic category 2001 census,res56: ethnicity,diagnostic
Read,9i26.00,Cypriot (part not stated) - ethnic category 2001 census,res56: ethnicity,diagnostic
Read,9i21.00,Scottish - ethnic category 2001 census,res56: ethnicity,diagnostic
Read,9i22.00,Welsh - ethnic category 2001 census,res56: ethnicity,diagnostic
Read,9i2F.00,Polish - ethnic category 2001 census,res56: ethnicity,diagnostic
Read,9i2A.00,Turkish Cypriot - ethnic category 2001 census,res56: ethnicity,diagnostic
Read,9i28.00,Greek Cypriot - ethnic category 2001 census,res56: ethnicity,diagnostic
Read,9i29.00,Turkish - ethnic category 2001 census,res56: ethnicity,diagnostic
Read,9i2E.00,Gypsy/Romany - ethnic category 2001 census,res56: ethnicity,diagnostic
Read,9i2T.00,Other White or White unspecified ethnic category 2001 census,res56: ethnicity,diagnostic
Read,9i2P.00,Other republics former Yugoslavia - ethnic categ 2001 census,res56: ethnicity,diagnostic
Read,9i2J.00,Kosovan - ethnic category 2001 census,res56: ethnicity,diagnostic
Read,9i2K.00,Albanian - ethnic category 2001 census,res56: ethnicity,diagnostic
Read,9i2R.00,Oth White European/European unsp/Mixed European 2001 census,res56: ethnicity,diagnostic
Read,9i2S.00,Other mixed White - ethnic category 2001 census,res56: ethnicity,diagnostic
Read,9S11.00,White Irish,res56: ethnicity,diagnostic
Read,9S1..00,White,res56: ethnicity,diagnostic
Read,9S10.00,White British,res56: ethnicity,diagnostic
Read,9SI..00,Irish traveller,res56: ethnicity,diagnostic
Read,9S13.00,White Scottish,res56: ethnicity,diagnostic
Read,9SA9.00,Irish (NMO),res56: ethnicity,diagnostic
Read,9S44.00,Black - other African country,res56: ethnicity,diagnostic
Read,9i8..00,Pakistani or British Pakistani - ethnic category 2001 census,res56: ethnicity,diagnostic
Read,9i9..00,Bangladeshi or British Bangladeshi - ethn categ 2001 census,res56: ethnicity,diagnostic
Read,9iA4.00,Sri Lankan - ethnic category 2001 census,res56: ethnicity,diagnostic
Read,9SA7.00,Indian sub-continent (NMO),res56: ethnicity,diagnostic
Read,9SA8.00,Other Asian (NMO),res56: ethnicity,diagnostic
Read,9iD0.00,Somali - ethnic category 2001 census,res56: ethnicity,diagnostic
