System,Code,Description
snomedct,270462008,Black East African Asian/Indo-Caribbean (ethnic group)
snomedct,309644006,Black Guyana (ethnic group)
snomedct,185995003,Black Indian sub-continent (ethnic group)
snomedct,275590006,Black Indo-Caribbean (ethnic group)
snomedct,275588005,Black Iranian (ethnic group)
snomedct,39007007,Black Jews (ethnic group)
snomedct,270461001,Black N African/Arab/Iranian (ethnic group)
snomedct,275586009,Black North African (ethnic group)
snomedct,9.76921E+14,Black or African or Caribbean or Black British : Caribbean - England and Wales ethnic category 2011 census (finding)
snomedct,9.76941E+14,Black or African or Caribbean or Black British : other black or African or Caribbean background - England and Wales ethnic category 2011 census 
snomedct,9.76901E+14,Black or African or Caribbean or Black British: African - England and Wales ethnic category 2011 census 
snomedct,9.76891E+14,Black or African or Caribbean or Black British: African - England and Wales ethnic category 2011 census (finding)
snomedct,9.77801E+14,Black or African or Caribbean or Black British: African - Northern Ireland ethnic category 2011 census 
snomedct,9.77791E+14,Black or African or Caribbean or Black British: African - Northern Ireland ethnic category 2011 census (finding)
snomedct,9.76911E+14,Black or African or Caribbean or Black British: Caribbean - England and Wales ethnic category 2011 census (finding)
snomedct,9.77821E+14,Black or African or Caribbean or Black British: Caribbean - Northern Ireland ethnic category 2011 census 
snomedct,9.77811E+14,Black or African or Caribbean or Black British: Caribbean - Northern Ireland ethnic category 2011 census (finding)
snomedct,9.76931E+14,Black or African or Caribbean or Black British: other Black or African or Caribbean background - England and Wales ethnic category 2011 census (finding)
snomedct,9.77841E+14,Black or African or Caribbean or Black British: other black or African or Caribbean background - Northern Ireland ethnic category 2011 census 
snomedct,9.77831E+14,Black or African or Caribbean or Black British: other Black or African or Caribbean background - Northern Ireland ethnic category 2011 census (finding)
snomedct,309643000,Black West Indian (ethnic group)
snomedct,185989004,"Black, other, non-mixed origin (ethnic group)"
snomedct,65776006,Blackfeet (ethnic group)
snomedct,32873005,Bloods (ethnic group)
snomedct,48679001,Bogobos (ethnic group)
snomedct,38750003,Bororo (ethnic group)
snomedct,9.3991E+13,Bosnian - ethnic category 2001 census (finding)
snomedct,72337002,Brazilian Indians (ethnic group)
snomedct,9.2681E+13,British Asian - ethnic category 2001 census (finding)
snomedct,186006000,British ethnic minority specified (NMO) (ethnic group)
snomedct,186007009,British ethnic minority unspecified (NMO) (ethnic group)
snomedct,9.2391E+13,British or mixed British - ethnic category 2001 census (finding)
snomedct,47250000,Bruneians (ethnic group)
snomedct,9.4131E+13,Buddhist - ethnic category 2001 census (finding)
snomedct,5.18731E+14,Bulgarian 
snomedct,29343004,Bulgarian (ethnic group)
snomedct,5.18721E+14,Bulgarian (ethnic group)
snomedct,1.0508E+15,Bulgarian Roma
snomedct,718962008,Bulgarian Roma (ethnic group)
snomedct,1.03636E+15,Bulgarian Roma (ethnic group)
snomedct,40165009,Buriats (ethnic group)
snomedct,85371009,Bushmen (ethnic group)
snomedct,73524008,Caingang (ethnic group)
snomedct,733446001,Canadian (ethnic group)
snomedct,1.07691E+14,Caribbean - ethnic category 2001 census (finding)
snomedct,9.2691E+13,Caribbean Asian - ethnic category 2001 census (finding)
snomedct,270463003,Caribbean I./W.I./Guyana (NMO) (ethnic group)
snomedct,275591005,Caribbean Island (NMO) (ethnic group)
snomedct,9.78371E+14,Caribbean or Black: any other Black or Caribbean group - Scotland ethnic category 2011 census 
snomedct,9.78361E+14,Caribbean or Black: any other Black or Caribbean group - Scotland ethnic category 2011 census (finding)
snomedct,9.78351E+14,"Caribbean or Black: Black,  Black Scottish or  Black British - Scotland ethnic category 2011 census "
snomedct,9.78341E+14,"Caribbean or Black: Black, Black Scottish or Black British - Scotland ethnic category 2011 census (finding)"
snomedct,9.78281E+14,"Caribbean or Black: Caribbean, Caribbean Scottish or Caribbean British - Scotland ethnic category 2011 census "
snomedct,9.78271E+14,"Caribbean or Black: Caribbean, Caribbean Scottish or Caribbean British - Scotland ethnic category 2011 census (finding)"
snomedct,41798002,Caroline Islanders (ethnic group)
snomedct,14045001,Caucasian (ethnic group)
snomedct,413773004,Caucasian (racial group)
snomedct,413774005,"Caucasian, not of hispanic origin (racial group)"
snomedct,57405008,Chenchu (ethnic group)
snomedct,9.2511E+13,Chinese - ethnic category 2001 census (finding)
snomedct,33897005,Chinese (ethnic group)
snomedct,9.2601E+13,Chinese and White - ethnic category 2001 census (finding)
snomedct,71949006,Chippewa (ethnic group)
snomedct,6373008,Choco (ethnic group)
snomedct,8.8961E+13,Commonwealth of (Russian) Independent States - ethnic category 2001 census (finding)
snomedct,52075006,Congolese (ethnic group)
snomedct,186040000,Cook Island Maori (ethnic group)
snomedct,9.2571E+13,Cornish - ethnic category 2001 census (finding)
snomedct,113171009,Coushatta (ethnic group)
snomedct,9.4001E+13,Croatian - ethnic category 2001 census (finding)
snomedct,43056000,Cuna (ethnic group)
snomedct,9.2791E+13,Cypriot (part not stated) - ethnic category 2001 census (finding)
snomedct,7.07591E+14,Czech
snomedct,286009,Czech (ethnic group)
snomedct,5.19681E+14,Czech (ethnic group)
snomedct,1.05081E+15,Czech Roma
snomedct,718959005,Czech Roma (ethnic group)
snomedct,1.03625E+15,Czech Roma (ethnic group)
snomedct,14176005,Danes (ethnic group)
snomedct,43890005,Dieguenos (ethnic group)
snomedct,9533000,Dutch (ethnic group)
snomedct,32513008,Dyaks (ethnic group)
snomedct,270465005,E Afric Asian/Indo-Carib (NMO) (ethnic group)
snomedct,9.2661E+13,East African Asian - ethnic category 2001 census (finding)
snomedct,275596000,East African Asian (NMO) (ethnic group)
snomedct,28821007,Easter Islanders (ethnic group)
snomedct,1919006,Egyptians (ethnic group)
snomedct,60157000,Ellice Islanders (ethnic group)
snomedct,1.10761E+14,English - ethnic category 2001 census (finding)
snomedct,25804004,English (ethnic group)
snomedct,85515006,Eskimo (ethnic group)
snomedct,18583004,Estonians (ethnic group)
snomedct,372148003,Ethnic group (ethnic group)
snomedct,365455004,Ethnic groups (1991 census) (United Kingdom) (ethnic group)
snomedct,5.83491E+14,Ethnic groups (census) NOS (ethnic group)
snomedct,186033001,Ethnic groups (census) NOS (ethnic group)
snomedct,414152003,European (ethnic group)
snomedct,347995004,European race (finding)
snomedct,10008004,Ewe (ethnic group)
snomedct,69865008,Fijian (ethnic group)
snomedct,9.2771E+13,Filipino - ethnic category 2001 census (finding)
snomedct,76768002,Filipinos (ethnic group)
snomedct,10117001,Finns (ethnic group)
snomedct,13233008,Flathead (ethnic group)
snomedct,19434008,French (ethnic group)
snomedct,37843006,Fulani (ethnic group)
snomedct,90822005,Gambians (ethnic group)
snomedct,32045009,Georgians (ethnic group)
snomedct,7695005,Germans (ethnic group)
snomedct,37474002,Ghanaians (ethnic group)
snomedct,90348007,Ghashgai (ethnic group)
snomedct,49202008,Gilbertese (ethnic group)
snomedct,9.3931E+13,Greek - ethnic category 2001 census (finding)
snomedct,275599007,Greek (NMO) (ethnic group)
snomedct,9.3941E+13,Greek Cypriot - ethnic category 2001 census (finding)
snomedct,275600005,Greek Cypriot (NMO) (ethnic group)
snomedct,270466006,Greek/Greek Cypriot (NMO) (ethnic group)
snomedct,1451003,Greeks (ethnic group)
snomedct,10292001,Guamians (ethnic group)
snomedct,275593008,Guyana (NMO) (ethnic group)
snomedct,40182006,Gypsies (ethnic group)
snomedct,8.8931E+13,Gypsy/Romany - ethnic category 2001 census (finding)
snomedct,20140003,Hawaiians (ethnic group)
snomedct,1.10831E+14,Hindu - ethnic category 2001 census (finding)
snomedct,72201005,Hobe (ethnic group)
snomedct,51750002,Hottentot (ethnic group)
snomedct,66406004,Huasteco (ethnic group)
snomedct,76883002,Huichol (ethnic group)
snomedct,64693008,Hungarian (ethnic group)
snomedct,1.05085E+15,Hungarian Roma
snomedct,718963003,Hungarian Roma (ethnic group)
snomedct,1.03628E+15,Hungarian Roma (ethnic group)
snomedct,2720008,Hututu (ethnic group)
snomedct,704392007,Iban (ethnic group)
snomedct,59366001,Ibo (ethnic group)
snomedct,72809004,Icelanders (ethnic group)
snomedct,55990000,Inca (ethnic group)
snomedct,186001005,Indian (East Indian) (ethnic group)
snomedct,414481008,Indian (racial group)
snomedct,1.10751E+14,Indian or British Indian - ethnic category 2001 census (finding)
snomedct,84576009,Indian race (finding)
snomedct,186012005,Indian sub-continent (NMO) (ethnic group)
snomedct,64483007,Indians (Hindi-speaking) (ethnic group)
snomedct,275597009,Indo-Caribbean (NMO) (ethnic group)
snomedct,21993009,Indonesians (ethnic group)
snomedct,69983001,Irani (ethnic group)
snomedct,8.9011E+13,Iranian - ethnic category 2001 census (finding)
snomedct,275595001,Iranian (NMO) (ethnic group)
snomedct,27700004,Iraqi (ethnic group)
snomedct,9.2401E+13,Irish - ethnic category 2001 census (finding)
snomedct,186014006,Irish (NMO) (ethnic group)
snomedct,8.8911E+13,Irish Traveller - ethnic category 2001 census (finding)
snomedct,9.77381E+14,Irish Traveller - Northern Ireland ethnic category 2011 census 
snomedct,9.77371E+14,Irish Traveller - Northern Ireland ethnic category 2011 census (finding)
snomedct,315283003,Irish traveller (ethnic group)
snomedct,83939006,Irula (ethnic group)
snomedct,9.4081E+13,Israeli - ethnic category 2001 census (finding)
snomedct,9.3961E+13,Italian - ethnic category 2001 census (finding)
snomedct,31637002,Italians (ethnic group)
snomedct,9.2761E+13,Japanese - ethnic category 2001 census (finding)
snomedct,414551003,Japanese (ethnic group)
snomedct,20449009,Javanese (ethnic group)
snomedct,8.8991E+13,Jewish - ethnic category 2001 census (finding)
snomedct,704387005,Kadazan (ethnic group)
snomedct,15801006,Kapingas (ethnic group)
snomedct,9.2651E+13,Kashmiri - ethnic category 2001 census (finding)
snomedct,11794009,Kenyans (ethnic group)
