System,Code,Description
snomedct,36329002,Slovak (ethnic group)
snomedct,7.10011E+14,Slovak (ethnic group)
snomedct,1.05084E+15,Slovak Roma
snomedct,718961001,Slovak Roma (ethnic group)
snomedct,1.03621E+15,Slovak Roma (ethnic group)
snomedct,48294008,Solomon Islanders (ethnic group)
snomedct,9.2711E+13,Somali - ethnic category 2001 census (finding)
snomedct,46110004,Somalis (ethnic group)
snomedct,8.9021E+13,South and Central American - ethnic category 2001 census (finding)
snomedct,26215007,South Asian Aborigine (ethnic group)
snomedct,108342005,South Asian AND/OR Australian aborigine (ethnic group)
snomedct,186044009,South East Asian (ethnic group)
snomedct,28409002,Spaniards (ethnic group)
snomedct,8.6461E+13,Sri Lankan - ethnic category 2001 census (finding)
snomedct,88839008,Sudanese (ethnic group)
snomedct,81403004,Swedes (ethnic group)
snomedct,76574004,Swiss (ethnic group)
snomedct,59487007,Syrians (ethnic group)
snomedct,63736003,Taiwanese (ethnic group)
snomedct,9.2671E+13,Tamil - ethnic category 2001 census (finding)
snomedct,12556008,Tamils (ethnic group)
snomedct,13440006,Tanganyikans (ethnic group)
snomedct,91066000,Tatars (ethnic group)
snomedct,83365001,Thais (ethnic group)
snomedct,75704009,Toba (ethnic group)
snomedct,81283004,Todas (ethnic group)
snomedct,186042008,Tokelauan (ethnic group)
snomedct,81560001,Tongan (ethnic group)
snomedct,8.8921E+13,Traveller - ethnic category 2001 census (finding)
snomedct,2688009,Tristan da Cunhans (ethnic group)
snomedct,33182009,Trukese (ethnic group)
snomedct,1.10401E+14,Turkish - ethnic category 2001 census (finding)
snomedct,275601009,Turkish (NMO) (ethnic group)
snomedct,9.3951E+13,Turkish Cypriot - ethnic category 2001 census (finding)
snomedct,275602002,Turkish Cypriot (NMO) (ethnic group)
snomedct,270467002,Turkish/Turkish Cypriot (NMO) (ethnic group)
snomedct,44460002,Turks (ethnic group)
snomedct,14470009,Tutsi (ethnic group)
snomedct,76775001,Ugandans (ethnic group)
snomedct,733078003,Ukrainian (ethnic group)
snomedct,9.3921E+13,Ulster Scots - ethnic category 2001 census (finding)
snomedct,35007000,Utes (ethnic group)
snomedct,62598008,Venezuelan Indians (ethnic group)
snomedct,9.2751E+13,Vietnamese - ethnic category 2001 census (finding)
snomedct,312859007,Vietnamese (ethnic group)
snomedct,9.2551E+13,Welsh - ethnic category 2001 census (finding)
snomedct,14999008,Welsh (ethnic group)
snomedct,8124001,West Africans (ethnic group)
snomedct,275592003,West Indian (NMO) (ethnic group)
snomedct,185984009,White - ethnic group (ethnic group)
snomedct,9.77361E+14,White - Northern Ireland ethnic category 2011 census 
snomedct,9.77351E+14,White - Northern Ireland ethnic category 2011 census (finding)
snomedct,9.2441E+13,White and Asian - ethnic category 2001 census (finding)
snomedct,9.2431E+13,White and Black African - ethnic category 2001 census (finding)
snomedct,9.2421E+13,White and Black Caribbean - ethnic category 2001 census (finding)
snomedct,4.94141E+14,White British - ethnic category 2001 census 
snomedct,4.94151E+14,White British - ethnic category 2001 census 
snomedct,4.94131E+14,White British - ethnic category 2001 census (finding)
snomedct,315236000,White British (ethnic group)
snomedct,4.94181E+14,White Irish - ethnic category 2001 census 
snomedct,4.94171E+14,White Irish - ethnic category 2001 census 
snomedct,4.94161E+14,White Irish - ethnic category 2001 census (finding)
snomedct,315237009,White Irish (ethnic group)
snomedct,401213008,White Scottish (ethnic group)
snomedct,9.76701E+14,White: any other white background - England and Wales ethnic category 2011 census 
snomedct,9.76691E+14,White: any other White background - England and Wales ethnic category 2011 census (finding)
snomedct,9.78041E+14,White: any other white ethnic group - Scotland ethnic category 2011 census 
snomedct,9.78031E+14,White: any other White ethnic group - Scotland ethnic category 2011 census (finding)
snomedct,9.76641E+14,White: English or Welsh or Scottish or Northern Irish or British - England and Wales ethnic category 2011 census 
snomedct,9.76631E+14,White: English or Welsh or Scottish or Northern Irish or British - England and Wales ethnic category 2011 census (finding)
snomedct,9.76681E+14,White: Gypsy or Irish Traveller - England and Wales ethnic category 2011 census 
snomedct,9.76671E+14,White: Gypsy or Irish Traveller - England and Wales ethnic category 2011 census (finding)
snomedct,9.77981E+14,White: Gypsy or Irish Traveller - Scotland ethnic category 2011 census 
snomedct,9.77971E+14,White: Gypsy or Irish Traveller - Scotland ethnic category 2011 census (finding)
snomedct,9.76661E+14,White: Irish - England and Wales ethnic category 2011 census 
snomedct,9.76651E+14,White: Irish - England and Wales ethnic category 2011 census (finding)
snomedct,9.77961E+14,White: Irish - Scotland ethnic category 2011 census 
snomedct,9.77951E+14,White: Irish - Scotland ethnic category 2011 census (finding)
snomedct,9.77941E+14,White: other British - Scotland ethnic category 2011 census 
snomedct,9.77931E+14,White: other British - Scotland ethnic category 2011 census (finding)
snomedct,9.78021E+14,White: Polish - Scotland ethnic category 2011 census 
snomedct,9.78011E+14,White: Polish - Scotland ethnic category 2011 census (finding)
snomedct,9.77921E+14,White: Scottish - Scotland ethnic category 2011 census 
snomedct,9.77911E+14,White: Scottish - Scotland ethnic category 2011 census (finding)
snomedct,18664001,Xavante (ethnic group)
snomedct,80528001,Xosa (ethnic group)
snomedct,76460008,Yanomama (ethnic group)
snomedct,48118002,Yapese (ethnic group)
snomedct,2.96851E+14,Yemeni 
snomedct,2.96861E+14,Yemeni 
snomedct,2.96841E+14,Yemeni (ethnic group)
snomedct,76253004,Zulu (ethnic group)
