Coding System (Read),Codes,Description,Entity type,Category
Read,9i63,Chinese and White - ethnic category 2001 census,res17: Ethnicity,test
Read,9i65,Other Mixed or Mixed unspecified ethnic category 2001 census,res17: Ethnicity,test
Read,9iA,Other Asian background - ethnic category 2001 census,res17: Ethnicity,test
Read,9iA2,Kashmiri - ethnic category 2001 census,res17: Ethnicity,test
Read,9iA5,Tamil - ethnic category 2001 census,res17: Ethnicity,test
Read,9iA7,Caribbean Asian - ethnic category 2001 census,res17: Ethnicity,test
Read,9iA9,Mixed Asian - ethnic category 2001 census,res17: Ethnicity,test
Read,9iD0,Somali - ethnic category 2001 census,res17: Ethnicity,test
Read,9iD3,Mixed Black - ethnic category 2001 census,res17: Ethnicity,test
Read,9iE,Chinese - ethnic category 2001 census,res17: Ethnicity,test
Read,9iF0,Vietnamese - ethnic category 2001 census,res17: Ethnicity,test
Read,9iF2,Filipino - ethnic category 2001 census,res17: Ethnicity,test
Read,9iF5,Hindu - ethnic category 2001 census,res17: Ethnicity,test
Read,9iF7,Muslim - ethnic category 2001 census,res17: Ethnicity,test
Read,9iF9,Arab - ethnic category 2001 census,res17: Ethnicity,test
Read,9iFC,Israeli - ethnic category 2001 census,res17: Ethnicity,test
Read,9iFE,Kurdish - ethnic category 2001 census,res17: Ethnicity,test
Read,9iFG,Latin American - ethnic category 2001 census,res17: Ethnicity,test
Read,9i27,Greek - ethnic category 2001 census,res17: Ethnicity,test
Read,9iAA,Other Asian or Asian unspecified ethnic category 2001 census,res17: Ethnicity,test
Read,9S,Ethnic groups (census),res17: Ethnicity,test
Read,9S14,Other white British ethnic group,res17: Ethnicity,test
Read,9SA1,Brit. ethnic minor. spec.(NMO),res17: Ethnicity,test
Read,9SAD,Other ethnic NEC (NMO),res17: Ethnicity,test
Read,9SE,Ethnic group not recorded,res17: Ethnicity,test
Read,9SH,Other Asian ethnic group,res17: Ethnicity,test
Read,9SZ,Ethnic groups (census) NOS,res17: Ethnicity,test
Read,9T1,New Zealand ethnic groups,res17: Ethnicity,test
