Read code,Read term,CALIBER category
42K..00,Eosinophil count,Eosinophil count
42K1.00,Eosinophil count normal,Eosinophil count
42K3.00,Eosinophil count raised,Eosinophil count
42KZ.00,Eosinophil count NOS,Eosinophil count
